URL ที่ได้รับผลกระทบ,พารามิเตอร์,เวลา
https://aegis-ro.com/,{""currency"":""THB""},13 ม.ค. 2024 01:37
https://pum-th.com/,{""currency"":""THB""},13 ม.ค. 2024 02:50
